InitialStage, RootNode, P_ESS_Output_ini, 0, -0.2863557677288909
InitialStage, RootNode, P_ESS_Output_ini, 1, -0.05932913617478856
InitialStage, RootNode, P_ESS_Output_ini, 2, 0.08832273405506019
InitialStage, RootNode, P_ESS_Output_ini, 3, 0.21652377531320505
InitialStage, RootNode, P_EV_ChargeAway_ini, 0, 2.5489470578119236e-56
InitialStage, RootNode, P_EV_ChargeAway_ini, 1, 0.0
InitialStage, RootNode, P_EV_ChargeAway_ini, 2, 2.4469891754994463e-55
InitialStage, RootNode, P_EV_ChargeAway_ini, 3, 0.0
InitialStage, RootNode, P_EV_ChargeHome_ini, 0, 0.44940230251965135
InitialStage, RootNode, P_EV_ChargeHome_ini, 1, 0.507394793713312
InitialStage, RootNode, P_EV_ChargeHome_ini, 2, 0.5708494107325918
InitialStage, RootNode, P_EV_ChargeHome_ini, 3, 0.6530786147961846
InitialStage, RootNode, P_Grid_Output_ini, 0, 0.7927580702485424
InitialStage, RootNode, P_Grid_Output_ini, 1, 0.6573239298881005
InitialStage, RootNode, P_Grid_Output_ini, 2, 0.5731266766775316
InitialStage, RootNode, P_Grid_Output_ini, 3, 0.5066215064829795
InitialStage, RootNode, P_PV_Output_ini, 0, 0.0
InitialStage, RootNode, P_PV_Output_ini, 1, 1.529368234687154e-56
InitialStage, RootNode, P_PV_Output_ini, 2, 4.078315292499078e-56
InitialStage, RootNode, P_PV_Output_ini, 3, 0.0
FutureStage, EarlyLeaveLongCommuteNode, P_ESS_Output_rec, 10, -0.9534540835471522
FutureStage, EarlyLeaveLongCommuteNode, P_ESS_Output_rec, 11, 0.6469820013180722
FutureStage, EarlyLeaveLongCommuteNode, P_ESS_Output_rec, 12, -0.7792059785107808
FutureStage, EarlyLeaveLongCommuteNode, P_ESS_Output_rec, 13, -0.8295369070233125
FutureStage, EarlyLeaveLongCommuteNode, P_ESS_Output_rec, 14, -0.5524245542937231
FutureStage, EarlyLeaveLongCommuteNode, P_ESS_Output_rec, 15, -0.5103224452029959
FutureStage, EarlyLeaveLongCommuteNode, P_ESS_Output_rec, 16, -0.9169405156245571
FutureStage, EarlyLeaveLongCommuteNode, P_ESS_Output_rec, 17, -0.9814692186707938
